payment_id,subscription_id,bill_month,billed_amount,paid_amount,payment_status
P00000078,S000014,202508,399,399,PAID
P00000079,S000014,202509,399,399,PAID
P00000080,S000014,202510,399,399,PAID
P00000081,S000014,202511,399,399,PAID
P00000082,S000015,202502,799,799,PAID
P00000083,S000015,202503,799,799,LATE
P00000084,S000015,202504,799,799,PAID
P00000085,S000016,202502,399,0,UNPAID
P00000086,S000016,202503,399,399,LATE
P00000087,S000016,202504,399,399,PAID
P00000088,S000016,202505,399,399,PAID
P00000089,S000016,202506,399,399,PAID
P00000090,S000016,202507,399,399,PAID
P00000091,S000016,202508,399,399,PAID
P00000092,S000016,202509,399,399,PAID
P00000093,S000016,202510,399,0,UNPAID
P00000094,S000016,202511,399,399,PAID
P00000095,S000016,202512,399,399,PAID
P00000096,S000017,202508,799,799,PAID
P00000097,S000017,202509,799,799,PAID
P00000098,S000017,202510,799,799,PAID
P00000099,S000017,202511,799,799,PAID
P00000100,S000017,202512,799,799,LATE
P00000101,S000018,202501,499,499,PAID
P00000102,S000018,202502,499,499,PAID
P00000103,S000018,202503,499,499,PAID
P00000104,S000018,202504,499,499,PAID
P00000105,S000018,202505,499,499,PAID
P00000106,S000018,202506,499,499,PAID
P00000107,S000018,202507,499,499,PAID
P00000108,S000018,202508,499,499,PAID
P00000109,S000018,202509,499,499,PAID
P00000110,S000018,202510,499,499,LATE
P00000111,S000018,202511,499,499,PAID
P00000112,S000018,202512,499,499,PAID
P00000113,S000019,202504,599,599,PAID
P00000114,S000019,202505,599,599,PAID
P00000115,S000019,202506,599,599,PAID
P00000116,S000019,202507,599,599,PAID
P00000117,S000019,202508,599,0,UNPAID
P00000118,S000019,202509,599,0,UNPAID
P00000119,S000019,202510,599,599,PAID
P00000120,S000019,202511,599,599,PAID
P00000121,S000019,202512,599,599,PAID
P00000122,S000020,202503,599,0,UNPAID
P00000123,S000020,202504,599,599,PAID
P00000124,S000020,202505,599,599,PAID
P00000125,S000020,202506,599,599,PAID
P00000126,S000020,202507,599,599,PAID
P00000127,S000021,202507,399,399,LATE
P00000128,S000021,202508,399,399,PAID
P00000129,S000021,202509,399,399,PAID
P00000130,S000021,202510,399,399,PAID
P00000131,S000021,202511,399,0,UNPAID
P00000132,S000021,202512,399,399,LATE
P00000133,S000022,202505,499,499,PAID
P00000134,S000022,202506,499,499,LATE
P00000135,S000022,202507,499,499,PAID
P00000136,S000022,202508,499,499,PAID
P00000137,S000022,202509,499,499,PAID
P00000138,S000022,202510,499,499,PAID
P00000139,S000022,202511,499,499,PAID
P00000140,S000022,202512,499,499,PAID
P00000141,S000023,202511,399,399,LATE
P00000142,S000023,202512,399,399,PAID
P00000143,S000024,202512,799,0,UNPAID
P00000144,S000025,202510,599,599,LATE
P00000145,S000025,202511,599,599,PAID
P00000146,S000025,202512,599,599,PAID
P00000147,S000026,202501,399,399,PAID
P00000148,S000026,202502,399,399,LATE
P00000149,S000026,202503,399,0,UNPAID
P00000150,S000026,202504,399,399,PAID
P00000151,S000026,202505,399,0,UNPAID
P00000152,S000026,202506,399,399,PAID
P00000153,S000026,202507,399,399,PAID
P00000154,S000026,202508,399,399,PAID
P00000155,S000026,202509,399,399,PAID
P00000156,S000026,202510,399,399,PAID
P00000157,S000026,202511,399,0,UNPAID
P00000158,S000026,202512,399,399,PAID
P00000159,S000027,202501,999,999,LATE
P00000160,S000027,202502,999,999,PAID
P00000161,S000027,202503,999,999,LATE
P00000162,S000027,202504,999,999,PAID
P00000163,S000027,202505,999,999,PAID
P00000164,S000027,202506,999,999,PAID
P00000165,S000027,202507,999,999,PAID
P00000166,S000027,202508,999,999,PAID
P00000167,S000027,202509,999,999,PAID
P00000168,S000027,202510,999,999,PAID
P00000169,S000027,202511,999,999,PAID
P00000170,S000027,202512,999,999,PAID
P00000171,S000028,202510,399,399,LATE
P00000172,S000028,202511,399,399,PAID
P00000173,S000028,202512,399,399,PAID
P00000174,S000029,202511,399,399,LATE
P00000175,S000029,202512,399,399,PAID
P00000176,S000030,202510,599,599,PAID
P00000177,S000030,202511,599,599,PAID
P00000178,S000030,202512,599,0,UNPAID
P00000179,S000031,202503,599,599,PAID
P00000180,S000031,202504,599,599,PAID
P00000181,S000031,202505,599,599,PAID
P00000182,S000031,202506,599,599,LATE
P00000183,S000031,202507,599,599,PAID
P00000184,S000031,202508,599,0,UNPAID
P00000185,S000031,202509,599,599,PAID
P00000186,S000031,202510,599,599,PAID
P00000187,S000031,202511,599,599,PAID
P00000188,S000031,202512,599,599,PAID
P00000189,S000032,202512,999,999,PAID
P00000190,S000033,202510,999,999,PAID
P00000191,S000033,202511,999,999,PAID
P00000192,S000033,202512,999,999,PAID
P00000193,S000034,202503,399,399,PAID
P00000194,S000034,202504,399,399,PAID
P00000195,S000034,202505,399,399,PAID
P00000196,S000034,202506,399,399,PAID
P00000197,S000034,202507,399,399,PAID
P00000198,S000034,202508,399,0,UNPAID
P00000199,S000034,202509,399,0,UNPAID
P00000200,S000034,202510,399,399,PAID
P00000201,S000034,202511,399,399,PAID
P00000202,S000034,202512,399,399,PAID
P00000203,S000035,202510,799,799,PAID
P00000204,S000035,202511,799,799,PAID
P00000205,S000035,202512,799,0,UNPAID
P00000206,S000036,202506,499,499,PAID
P00000207,S000036,202507,499,499,PAID
P00000208,S000036,202508,499,499,PAID
P00000209,S000036,202509,499,499,PAID
P00000210,S000036,202510,499,499,PAID
P00000211,S000036,202511,499,499,PAID
P00000212,S000036,202512,499,499,PAID
P00000213,S000037,202512,399,399,PAID
P00000214,S000038,202503,399,399,PAID
P00000215,S000038,202504,399,399,PAID
P00000216,S000038,202505,399,399,PAID
P00000217,S000038,202506,399,399,PAID
P00000218,S000038,202507,399,399,PAID
P00000219,S000038,202508,399,399,LATE
P00000220,S000038,202509,399,399,LATE
P00000221,S000038,202510,399,399,LATE
P00000222,S000038,202511,399,399,PAID
P00000223,S000038,202512,399,399,PAID
P00000224,S000039,202502,799,799,LATE
P00000225,S000039,202503,799,799,PAID
P00000226,S000039,202504,799,0,UNPAID
P00000227,S000039,202505,799,799,PAID
P00000228,S000039,202506,799,799,PAID
P00000229,S000039,202507,799,799,PAID
P00000230,S000039,202508,799,799,LATE
P00000231,S000039,202509,799,799,PAID
P00000232,S000039,202510,799,799,PAID
P00000233,S000039,202511,799,799,PAID
P00000234,S000039,202512,799,799,PAID
P00000235,S000040,202506,499,499,LATE
P00000236,S000040,202507,499,499,PAID
P00000237,S000040,202508,499,499,LATE
P00000238,S000040,202509,499,499,PAID
P00000239,S000040,202510,499,499,PAID
P00000240,S000040,202511,499,499,PAID
P00000241,S000040,202512,499,499,PAID
P00000242,S000041,202511,599,599,PAID
P00000243,S000041,202512,599,599,PAID
P00000244,S000042,202512,999,999,PAID
P00000245,S000043,202504,799,799,PAID
P00000246,S000043,202505,799,799,LATE
P00000247,S000043,202506,799,799,PAID
P00000248,S000043,202507,799,799,PAID
P00000249,S000043,202508,799,799,PAID
P00000250,S000043,202509,799,799,PAID
P00000251,S000043,202510,799,799,LATE
P00000252,S000043,202511,799,799,PAID
P00000253,S000043,202512,799,0,UNPAID
P00000254,S000044,202512,499,499,PAID
P00000255,S000045,202512,999,999,PAID
P00000256,S000046,202503,499,0,UNPAID
P00000257,S000046,202504,499,499,LATE
P00000258,S000046,202505,499,499,PAID
P00000259,S000046,202506,499,499,PAID
P00000260,S000046,202507,499,499,PAID
P00000261,S000046,202508,499,499,PAID
P00000262,S000046,202509,499,499,PAID
P00000263,S000046,202510,499,499,PAID
P00000264,S000046,202511,499,499,PAID
P00000265,S000046,202512,499,499,PAID
P00000266,S000047,202508,599,599,LATE
P00000267,S000047,202509,599,599,LATE
P00000268,S000048,202503,599,599,PAID
P00000269,S000048,202504,599,599,PAID
P00000270,S000048,202505,599,0,UNPAID
P00000271,S000048,202506,599,599,LATE
P00000272,S000048,202507,599,599,LATE
P00000273,S000048,202508,599,599,PAID
P00000274,S000048,202509,599,599,PAID
P00000275,S000048,202510,599,599,PAID
P00000276,S000048,202511,599,599,PAID
P00000277,S000048,202512,599,599,PAID
P00000278,S000049,202501,399,399,PAID
P00000279,S000049,202502,399,399,PAID
P00000280,S000049,202503,399,399,PAID
P00000281,S000049,202504,399,0,UNPAID
P00000282,S000049,202505,399,399,LATE
P00000283,S000049,202506,399,399,PAID
P00000284,S000049,202507,399,399,LATE
P00000285,S000049,202508,399,399,PAID
P00000286,S000049,202509,399,399,PAID
P00000287,S000049,202510,399,399,PAID
P00000288,S000049,202511,399,399,PAID
P00000289,S000049,202512,399,399,PAID
P00000290,S000050,202505,399,399,PAID
P00000291,S000050,202506,399,399,PAID
P00000292,S000050,202507,399,399,PAID
P00000293,S000050,202508,399,399,PAID
P00000294,S000050,202509,399,399,PAID
P00000295,S000050,202510,399,399,LATE
P00000296,S000050,202511,399,399,PAID
P00000297,S000050,202512,399,399,PAID
P00000298,S000051,202507,499,499,PAID
P00000299,S000051,202508,499,499,LATE
P00000300,S000051,202509,499,499,PAID
P00000301,S000051,202510,499,499,PAID
P00000302,S000051,202511,499,499,PAID
P00000303,S000051,202512,499,499,PAID
P00000304,S000052,202508,999,999,PAID
P00000305,S000052,202509,999,999,PAID
P00000306,S000052,202510,999,999,PAID
P00000307,S000052,202511,999,999,PAID
P00000308,S000052,202512,999,999,PAID
P00000309,S000053,202502,499,499,PAID
P00000310,S000053,202503,499,499,PAID
P00000311,S000053,202504,499,499,PAID
P00000312,S000053,202505,499,499,PAID
P00000313,S000053,202506,499,499,PAID
P00000314,S000053,202507,499,499,PAID
P00000315,S000053,202508,499,499,PAID
P00000316,S000053,202509,499,499,LATE
P00000317,S000053,202510,499,499,LATE
P00000318,S000053,202511,499,499,PAID
P00000319,S000053,202512,499,499,PAID
P00000320,S000054,202508,399,399,PAID
P00000321,S000054,202509,399,399,PAID
P00000322,S000055,202505,599,599,PAID
P00000323,S000055,202506,599,599,PAID
P00000324,S000055,202507,599,599,PAID
P00000325,S000055,202508,599,599,PAID
P00000326,S000055,202509,599,599,PAID
P00000327,S000055,202510,599,599,PAID
P00000328,S000055,202511,599,599,PAID
P00000329,S000055,202512,599,599,PAID
P00000330,S000056,202507,399,399,PAID
P00000331,S000056,202508,399,399,PAID
P00000332,S000057,202510,399,399,PAID
P00000333,S000057,202511,399,399,PAID
P00000334,S000057,202512,399,399,PAID
P00000335,S000058,202511,399,399,PAID
P00000336,S000058,202512,399,399,PAID
P00000337,S000059,202506,799,0,UNPAID
P00000338,S000059,202507,799,799,PAID
P00000339,S000059,202508,799,799,PAID
P00000340,S000059,202509,799,799,PAID
P00000341,S000059,202510,799,799,PAID
P00000342,S000059,202511,799,799,PAID
P00000343,S000059,202512,799,799,PAID
P00000344,S000060,202511,399,399,PAID
P00000345,S000060,202512,399,399,PAID
P00000346,S000061,202507,499,0,UNPAID
P00000347,S000061,202508,499,499,PAID
P00000348,S000061,202509,499,499,PAID
P00000349,S000061,202510,499,499,PAID
P00000350,S000061,202511,499,499,PAID
P00000351,S000061,202512,499,499,PAID
P00000352,S000062,202506,999,999,PAID
P00000353,S000062,202507,999,999,PAID
P00000354,S000063,202504,599,599,PAID
P00000355,S000063,202505,599,599,LATE
P00000356,S000063,202506,599,599,PAID
P00000357,S000063,202507,599,599,PAID
P00000358,S000063,202508,599,599,PAID
P00000359,S000064,202508,799,799,PAID
P00000360,S000064,202509,799,799,PAID
P00000361,S000064,202510,799,799,LATE
P00000362,S000064,202511,799,799,LATE
P00000363,S000064,202512,799,799,PAID
P00000364,S000065,202508,399,399,LATE
P00000365,S000065,202509,399,399,PAID
P00000366,S000065,202510,399,399,PAID
P00000367,S000065,202511,399,399,PAID
P00000368,S000065,202512,399,399,PAID
P00000369,S000066,202503,599,599,PAID
P00000370,S000066,202504,599,599,PAID
P00000371,S000066,202505,599,599,PAID
P00000372,S000066,202506,599,599,PAID
P00000373,S000066,202507,599,599,PAID
P00000374,S000066,202508,599,599,PAID
P00000375,S000066,202509,599,599,LATE
P00000376,S000066,202510,599,599,PAID
P00000377,S000066,202511,599,599,PAID
P00000378,S000066,202512,599,599,PAID
P00000379,S000067,202508,599,599,PAID
P00000380,S000067,202509,599,599,PAID
P00000381,S000067,202510,599,599,PAID
P00000382,S000067,202511,599,599,PAID
P00000383,S000067,202512,599,599,LATE
P00000384,S000068,202505,399,399,PAID
P00000385,S000068,202506,399,0,UNPAID
P00000386,S000068,202507,399,399,PAID
P00000387,S000068,202508,399,399,PAID
P00000388,S000068,202509,399,399,PAID
P00000389,S000068,202510,399,399,PAID
P00000390,S000068,202511,399,399,PAID
P00000391,S000068,202512,399,399,LATE
P00000392,S000069,202511,799,799,PAID
P00000393,S000069,202512,799,799,PAID
P00000394,S000070,202509,799,799,PAID
P00000395,S000070,202510,799,799,PAID
P00000396,S000070,202511,799,799,PAID
P00000397,S000071,202510,599,599,LATE
P00000398,S000071,202511,599,599,PAID
P00000399,S000071,202512,599,599,PAID
P00000400,S000072,202507,399,399,LATE
P00000401,S000072,202508,399,399,PAID
P00000402,S000072,202509,399,399,PAID
P00000403,S000072,202510,399,399,PAID
P00000404,S000072,202511,399,399,PAID
P00000405,S000072,202512,399,399,PAID
P00000406,S000073,202502,499,499,PAID
P00000407,S000073,202503,499,499,PAID
P00000408,S000073,202504,499,499,PAID
P00000409,S000073,202505,499,499,PAID
P00000410,S000073,202506,499,499,PAID
P00000411,S000073,202507,499,499,PAID
P00000412,S000073,202508,499,499,PAID
P00000413,S000073,202509,499,499,LATE
P00000414,S000073,202510,499,499,PAID
P00000415,S000073,202511,499,499,PAID
P00000416,S000073,202512,499,499,PAID
P00000417,S000074,202504,399,399,PAID
P00000418,S000074,202505,399,399,PAID
P00000419,S000074,202506,399,399,PAID
P00000420,S000074,202507,399,399,PAID
P00000421,S000074,202508,399,399,LATE
P00000422,S000074,202509,399,399,PAID
P00000423,S000074,202510,399,399,PAID
P00000424,S000074,202511,399,399,LATE
P00000425,S000074,202512,399,399,PAID
P00000426,S000075,202502,499,499,PAID
P00000427,S000075,202503,499,499,PAID
P00000428,S000075,202504,499,499,PAID
P00000429,S000075,202505,499,499,PAID
P00000430,S000075,202506,499,499,PAID
P00000431,S000075,202507,499,499,PAID
P00000432,S000075,202508,499,499,PAID
P00000433,S000075,202509,499,499,PAID
P00000434,S000075,202510,499,499,PAID
P00000435,S000075,202511,499,499,PAID
P00000436,S000075,202512,499,499,PAID
P00000437,S000076,202510,399,399,PAID
P00000438,S000076,202511,399,399,PAID
P00000439,S000076,202512,399,399,PAID
P00000440,S000077,202507,599,599,LATE
P00000441,S000077,202508,599,599,PAID
P00000442,S000077,202509,599,599,PAID
P00000443,S000077,202510,599,599,PAID
P00000444,S000077,202511,599,599,PAID
P00000445,S000077,202512,599,599,PAID
P00000446,S000078,202509,999,999,PAID
P00000447,S000078,202510,999,999,PAID
P00000448,S000078,202511,999,0,UNPAID
P00000449,S000078,202512,999,999,PAID
P00000450,S000079,202502,999,999,PAID
P00000451,S000079,202503,999,999,PAID
P00000452,S000079,202504,999,999,PAID
P00000453,S000079,202505,999,999,PAID
P00000454,S000079,202506,999,999,PAID
P00000455,S000079,202507,999,999,LATE
P00000456,S000079,202508,999,999,PAID
P00000457,S000079,202509,999,999,PAID
P00000458,S000079,202510,999,999,PAID
P00000459,S000079,202511,999,999,PAID
P00000460,S000079,202512,999,999,PAID
P00000461,S000080,202502,599,599,PAID
P00000462,S000080,202503,599,599,LATE
P00000463,S000080,202504,599,599,PAID
P00000464,S000080,202505,599,599,PAID
P00000465,S000080,202506,599,599,PAID
P00000466,S000080,202507,599,599,PAID
P00000467,S000080,202508,599,599,PAID
P00000468,S000080,202509,599,599,PAID
P00000469,S000080,202510,599,599,PAID
P00000470,S000080,202511,599,599,PAID
P00000471,S000080,202512,599,599,PAID
P00000472,S000081,202507,799,799,PAID
P00000473,S000081,202508,799,799,PAID
P00000474,S000081,202509,799,799,PAID
P00000475,S000081,202510,799,799,PAID
P00000476,S000081,202511,799,799,PAID
P00000477,S000081,202512,799,799,PAID
P00000478,S000082,202501,999,999,PAID
P00000479,S000082,202502,999,999,PAID
P00000480,S000082,202503,999,999,PAID
P00000481,S000082,202504,999,999,LATE
P00000482,S000082,202505,999,999,PAID
P00000483,S000082,202506,999,999,PAID
P00000484,S000082,202507,999,999,PAID
P00000485,S000082,202508,999,999,PAID
P00000486,S000083,202501,499,499,PAID
P00000487,S000083,202502,499,499,PAID
P00000488,S000083,202503,499,499,PAID
P00000489,S000083,202504,499,499,PAID
P00000490,S000083,202505,499,499,PAID
P00000491,S000083,202506,499,499,PAID
P00000492,S000083,202507,499,499,PAID
P00000493,S000083,202508,499,499,PAID
P00000494,S000083,202509,499,499,PAID
P00000495,S000083,202510,499,499,PAID
P00000496,S000083,202511,499,499,LATE
P00000497,S000083,202512,499,499,PAID
P00000498,S000084,202512,599,599,PAID
P00000499,S000085,202506,599,599,PAID
P00000500,S000085,202507,599,599,LATE
P00000501,S000085,202508,599,599,PAID
P00000502,S000085,202509,599,599,PAID
P00000503,S000085,202510,599,599,PAID
P00000504,S000085,202511,599,599,PAID
P00000505,S000085,202512,599,599,PAID
P00000506,S000086,202508,399,399,PAID
P00000507,S000086,202509,399,0,UNPAID
P00000508,S000086,202510,399,0,UNPAID
P00000509,S000086,202511,399,399,LATE
P00000510,S000086,202512,399,399,PAID
P00000511,S000087,202503,799,799,PAID
P00000512,S000087,202504,799,799,PAID
P00000513,S000087,202505,799,0,UNPAID
P00000514,S000087,202506,799,0,UNPAID
P00000515,S000087,202507,799,799,LATE
P00000516,S000087,202508,799,799,PAID
P00000517,S000087,202509,799,799,PAID
P00000518,S000087,202510,799,799,PAID
P00000519,S000087,202511,799,799,PAID
P00000520,S000087,202512,799,799,PAID
P00000521,S000088,202505,399,399,PAID
P00000522,S000088,202506,399,399,PAID
P00000523,S000088,202507,399,399,PAID
P00000524,S000088,202508,399,399,PAID
P00000525,S000088,202509,399,399,PAID
P00000526,S000088,202510,399,399,LATE
P00000527,S000088,202511,399,399,PAID
P00000528,S000088,202512,399,0,UNPAID
P00000529,S000089,202508,799,799,PAID
P00000530,S000089,202509,799,799,PAID
P00000531,S000089,202510,799,799,LATE
P00000532,S000089,202511,799,799,PAID
P00000533,S000089,202512,799,799,PAID
P00000534,S000090,202501,399,399,LATE
P00000535,S000090,202502,399,399,PAID
P00000536,S000090,202503,399,399,PAID
P00000537,S000090,202504,399,399,PAID
P00000538,S000090,202505,399,399,PAID
P00000539,S000090,202506,399,399,PAID
P00000540,S000090,202507,399,399,PAID
P00000541,S000090,202508,399,399,PAID
P00000542,S000090,202509,399,399,PAID
P00000543,S000090,202510,399,399,PAID
P00000544,S000090,202511,399,399,PAID
P00000545,S000090,202512,399,399,PAID
P00000546,S000091,202512,999,999,PAID
P00000547,S000092,202503,399,399,PAID
P00000548,S000092,202504,399,399,PAID
P00000549,S000092,202505,399,399,PAID
P00000550,S000092,202506,399,0,UNPAID
P00000551,S000092,202507,399,0,UNPAID
P00000552,S000092,202508,399,399,PAID
P00000553,S000092,202509,399,399,PAID
P00000554,S000092,202510,399,399,LATE
P00000555,S000092,202511,399,399,PAID
P00000556,S000092,202512,399,399,PAID
P00000557,S000093,202501,499,499,PAID
P00000558,S000093,202502,499,0,UNPAID
P00000559,S000093,202503,499,499,PAID
P00000560,S000093,202504,499,499,PAID
P00000561,S000093,202505,499,499,PAID
P00000562,S000093,202506,499,499,PAID
P00000563,S000093,202507,499,0,UNPAID
P00000564,S000093,202508,499,499,PAID
P00000565,S000093,202509,499,499,PAID
P00000566,S000093,202510,499,499,PAID
P00000567,S000093,202511,499,499,PAID
P00000568,S000093,202512,499,499,PAID
P00000569,S000094,202506,799,799,LATE
P00000570,S000094,202507,799,799,PAID
P00000571,S000094,202508,799,799,PAID
P00000572,S000094,202509,799,799,PAID
P00000573,S000094,202510,799,799,LATE
P00000574,S000094,202511,799,799,PAID
P00000575,S000094,202512,799,799,PAID
P00000576,S000095,202511,999,999,PAID
P00000577,S000095,202512,999,999,PAID
P00000578,S000096,202503,999,999,PAID
P00000579,S000096,202504,999,999,PAID
P00000580,S000096,202505,999,999,PAID
P00000581,S000096,202506,999,999,PAID
P00000582,S000096,202507,999,999,LATE
P00000583,S000096,202508,999,999,PAID
P00000584,S000096,202509,999,0,UNPAID
P00000585,S000096,202510,999,999,PAID
P00000586,S000096,202511,999,999,PAID
P00000587,S000096,202512,999,999,PAID
P00000588,S000097,202506,399,399,PAID
P00000589,S000097,202507,399,399,LATE
P00000590,S000097,202508,399,399,PAID
P00000591,S000097,202509,399,399,LATE
P00000592,S000098,202501,999,999,PAID
P00000593,S000098,202502,999,999,PAID
P00000594,S000098,202503,999,999,PAID
P00000595,S000098,202504,999,999,PAID
P00000596,S000098,202505,999,999,PAID
P00000597,S000098,202506,999,999,PAID
P00000598,S000098,202507,999,999,PAID
P00000599,S000098,202508,999,999,PAID
P00000600,S000098,202509,999,999,PAID
P00000601,S000098,202510,999,999,PAID
P00000602,S000098,202511,999,0,UNPAID
P00000603,S000098,202512,999,999,PAID
P00000604,S000099,202504,499,499,LATE
P00000605,S000099,202505,499,499,PAID
P00000606,S000099,202506,499,499,PAID
P00000607,S000099,202507,499,499,PAID
P00000608,S000099,202508,499,499,PAID
P00000609,S000099,202509,499,499,PAID
P00000610,S000099,202510,499,499,PAID
P00000611,S000099,202511,499,499,PAID
P00000612,S000099,202512,499,499,PAID
P00000613,S000100,202511,399,399,PAID
P00000614,S000100,202512,399,399,LATE
P00000615,S000101,202503,399,399,PAID
P00000616,S000101,202504,399,399,LATE
P00000617,S000101,202505,399,399,PAID
P00000618,S000101,202506,399,399,PAID
P00000619,S000101,202507,399,399,LATE
P00000620,S000101,202508,399,399,LATE
P00000621,S000101,202509,399,399,PAID
P00000622,S000101,202510,399,399,PAID
P00000623,S000101,202511,399,399,PAID
P00000624,S000101,202512,399,399,PAID
P00000625,S000102,202505,599,599,PAID
P00000626,S000102,202506,599,599,PAID
P00000627,S000102,202507,599,599,PAID
P00000628,S000102,202508,599,599,PAID
P00000629,S000102,202509,599,599,PAID
P00000630,S000102,202510,599,599,PAID
P00000631,S000102,202511,599,599,LATE
P00000632,S000102,202512,599,599,PAID
P00000633,S000103,202507,599,599,LATE
P00000634,S000103,202508,599,599,PAID
P00000635,S000103,202509,599,599,PAID
P00000636,S000103,202510,599,599,PAID
P00000637,S000103,202511,599,599,PAID
P00000638,S000103,202512,599,599,LATE
P00000639,S000104,202508,999,999,LATE
P00000640,S000104,202509,999,999,PAID
P00000641,S000104,202510,999,999,PAID
P00000642,S000104,202511,999,999,PAID
P00000643,S000104,202512,999,999,PAID
P00000644,S000105,202510,999,999,PAID
P00000645,S000105,202511,999,999,PAID
P00000646,S000105,202512,999,999,PAID
P00000647,S000106,202505,399,399,PAID
P00000648,S000106,202506,399,399,PAID
P00000649,S000106,202507,399,399,PAID
P00000650,S000106,202508,399,399,PAID
P00000651,S000106,202509,399,399,PAID
P00000652,S000106,202510,399,399,PAID
P00000653,S000106,202511,399,399,PAID
P00000654,S000106,202512,399,399,PAID
P00000655,S000107,202505,599,599,PAID
P00000656,S000107,202506,599,599,PAID
P00000657,S000107,202507,599,599,PAID
P00000658,S000107,202508,599,599,PAID
P00000659,S000107,202509,599,599,PAID
P00000660,S000107,202510,599,599,PAID
P00000661,S000107,202511,599,599,PAID
P00000662,S000107,202512,599,599,PAID
P00000663,S000108,202504,999,999,PAID
P00000664,S000108,202505,999,999,PAID
P00000665,S000108,202506,999,999,PAID
P00000666,S000108,202507,999,999,PAID
P00000667,S000108,202508,999,999,PAID
P00000668,S000109,202511,399,399,PAID
P00000669,S000109,202512,399,399,PAID
P00000670,S000110,202505,799,799,PAID
P00000671,S000110,202506,799,799,PAID
P00000672,S000110,202507,799,799,LATE
P00000673,S000110,202508,799,799,PAID
P00000674,S000110,202509,799,799,PAID
P00000675,S000110,202510,799,799,PAID
P00000676,S000110,202511,799,799,PAID
P00000677,S000110,202512,799,799,PAID
P00000678,S000111,202512,999,999,PAID
P00000679,S000112,202506,999,999,PAID
P00000680,S000112,202507,999,999,PAID
P00000681,S000112,202508,999,999,PAID
P00000682,S000112,202509,999,999,PAID
P00000683,S000112,202510,999,999,PAID
P00000684,S000112,202511,999,999,LATE
P00000685,S000112,202512,999,999,PAID
P00000686,S000113,202511,499,499,PAID
P00000687,S000113,202512,499,499,PAID
P00000688,S000114,202505,599,599,PAID
P00000689,S000114,202506,599,599,PAID
P00000690,S000114,202507,599,599,PAID
P00000691,S000115,202511,399,399,PAID
P00000692,S000115,202512,399,399,PAID
