subscription_id,product_name,start_month,monthly_fee
S000136,Playbox,202506,99
S000422,Mesh WiFi,202501,199
S000202,IP Camera,202510,149
S000526,Playbox,202504,99
S000622,Playbox,202504,199
S000368,Playbox,202507,299
S000101,IP Camera,202509,99
S000561,Mesh WiFi,202510,99
S000820,IP Camera,202508,149
S000001,Mesh WiFi,202511,99
S000711,Mesh WiFi,202507,99
S000890,IP Camera,202508,149
S000159,IP Camera,202504,199
S000902,IP Camera,202512,149
S000804,IP Camera,202510,149
S000856,Mesh WiFi,202511,199
S000393,IP Camera,202504,149
S000882,IP Camera,202509,99
S000509,Mesh WiFi,202501,199
S000204,Mesh WiFi,202511,99
S000905,Playbox,202512,299
S000464,Mesh WiFi,202501,149
S000496,Mesh WiFi,202510,199
S000778,IP Camera,202511,149
S000709,Mesh WiFi,202511,199
S000318,Playbox,202509,299
S000978,IP Camera,202507,199
S000216,Mesh WiFi,202511,99
S000099,Playbox,202501,299
S000114,Mesh WiFi,202502,149
S000590,Playbox,202509,199
S000507,IP Camera,202506,99
S000175,Mesh WiFi,202504,199
S000333,Mesh WiFi,202509,149
S000439,Playbox,202510,199
S000560,IP Camera,202505,99
S000552,Playbox,202503,299
S000761,Playbox,202501,99
S000020,IP Camera,202509,299
S000859,IP Camera,202507,299
S000315,Playbox,202501,99
S000112,Mesh WiFi,202509,149
S000272,Playbox,202502,149
S000513,IP Camera,202506,99
S000394,Playbox,202502,299
S000414,IP Camera,202501,199
S000309,Playbox,202505,99
S000696,IP Camera,202506,99
S000648,Mesh WiFi,202507,149
S000017,IP Camera,202509,149
S000317,IP Camera,202508,299
S000237,IP Camera,202503,99
S000125,IP Camera,202506,149
S000103,IP Camera,202505,199
S000791,Playbox,202508,299
S000504,Mesh WiFi,202510,199
S000010,Mesh WiFi,202503,99
S000104,IP Camera,202508,149
S000595,IP Camera,202507,299
S000236,IP Camera,202503,149
S000830,Mesh WiFi,202501,99
S000938,IP Camera,202508,299
S000966,Mesh WiFi,202501,149
S000512,IP Camera,202512,99
S000387,Mesh WiFi,202501,299
S000770,IP Camera,202511,199
S000617,Playbox,202504,149
S000031,Playbox,202508,149
S000207,Playbox,202503,199
S000862,Mesh WiFi,202512,149
S000530,Playbox,202506,299
S000919,Playbox,202508,99
S000591,Mesh WiFi,202501,149
S000646,Playbox,202511,99
S000564,Playbox,202510,149
S000575,Playbox,202507,99
S000734,Playbox,202507,149
S000069,IP Camera,202511,199
S000572,Playbox,202508,299
S000579,IP Camera,202510,199
S000095,Mesh WiFi,202502,149
S000717,Playbox,202508,99
S000613,IP Camera,202509,199
S000308,Mesh WiFi,202505,99
S000256,IP Camera,202503,199
S000894,Playbox,202503,299
S000527,Mesh WiFi,202509,99
S000221,Playbox,202507,199
S000273,Mesh WiFi,202501,149
S000474,Mesh WiFi,202504,199
S000466,Playbox,202507,299
S000122,IP Camera,202502,149
S000488,Mesh WiFi,202512,299
S000188,IP Camera,202509,149
S000346,Playbox,202502,99
S000683,Playbox,202511,99
S000138,Mesh WiFi,202510,149
S000955,Playbox,202511,149
S000479,Mesh WiFi,202509,299
S000939,Playbox,202510,199
S000233,IP Camera,202508,299
S000984,Playbox,202507,149
S000127,IP Camera,202504,99
S000432,IP Camera,202503,199
S000359,Mesh WiFi,202501,199
S000977,Playbox,202510,299
S000429,IP Camera,202501,299
S000869,IP Camera,202510,299
S000559,Mesh WiFi,202511,99
S000032,Mesh WiFi,202508,99
S000117,Mesh WiFi,202508,149
S000468,Mesh WiFi,202509,149
S000098,Playbox,202506,99
