subscription_id,usage_date,month_id,download_gb,upload_gb,avg_speed_mbps
S000014,2025-09-01,202509,542.95,92.68,396.23
S000014,2025-10-01,202510,366.78,66.76,827.87
S000014,2025-11-01,202511,278.67,77.71,775.75
S000015,2025-02-01,202502,427.92,55.99,649.82
S000015,2025-03-01,202503,307.25,66.93,964.82
S000015,2025-04-01,202504,386.45,54.78,837.68
S000016,2025-02-01,202502,540.99,100.65,472.09
S000016,2025-03-01,202503,306.42,105.34,593.85
S000016,2025-04-01,202504,389.94,95.49,560.96
S000016,2025-05-01,202505,344.64,15.17,546.34
S000016,2025-06-01,202506,327.27,55.04,944.86
S000016,2025-07-01,202507,221.29,71.2,719.61
S000016,2025-08-01,202508,479.71,51.28,874.47
S000016,2025-09-01,202509,350.92,60.37,769.32
S000016,2025-10-01,202510,367.92,68.0,710.47
S000016,2025-11-01,202511,315.32,82.27,799.32
S000016,2025-12-01,202512,492.74,55.24,1019.96
S000017,2025-08-01,202508,174.31,76.96,788.25
S000017,2025-09-01,202509,375.29,67.55,668.78
S000017,2025-10-01,202510,305.63,68.21,827.44
S000017,2025-11-01,202511,382.13,66.14,834.94
S000017,2025-12-01,202512,377.66,96.26,794.44
S000018,2025-01-01,202501,275.39,68.8,812.09
S000018,2025-02-01,202502,404.93,79.58,717.6
S000018,2025-03-01,202503,464.99,68.17,782.06
S000018,2025-04-01,202504,331.8,75.65,864.82
S000018,2025-05-01,202505,424.29,96.27,895.82
S000018,2025-06-01,202506,351.89,93.64,653.46
S000018,2025-07-01,202507,379.17,77.4,714.55
S000018,2025-08-01,202508,403.56,63.64,1013.86
S000018,2025-09-01,202509,259.46,55.72,873.72
S000018,2025-10-01,202510,421.25,92.48,794.25
S000018,2025-11-01,202511,348.9,62.05,711.37
S000018,2025-12-01,202512,289.06,99.5,677.94
S000019,2025-04-01,202504,275.71,73.57,761.94
S000019,2025-05-01,202505,299.26,63.56,736.55
S000019,2025-06-01,202506,372.05,69.86,629.34
S000019,2025-07-01,202507,370.88,51.04,488.88
S000019,2025-08-01,202508,285.34,75.73,746.64
S000019,2025-09-01,202509,482.78,97.15,676.01
S000019,2025-10-01,202510,348.29,59.95,697.22
S000019,2025-11-01,202511,324.02,86.45,575.92
S000019,2025-12-01,202512,396.74,110.65,683.69
S000020,2025-03-01,202503,386.15,93.8,639.82
S000020,2025-04-01,202504,370.17,80.25,714.65
S000020,2025-05-01,202505,280.43,80.49,774.7
S000020,2025-06-01,202506,480.6,99.19,1022.98
S000020,2025-07-01,202507,280.94,97.45,727.5
S000021,2025-07-01,202507,547.08,63.83,574.04
S000021,2025-08-01,202508,296.05,37.52,621.14
S000021,2025-09-01,202509,281.68,83.01,751.26
S000021,2025-10-01,202510,518.86,99.01,613.46
S000021,2025-11-01,202511,269.14,89.84,501.97
S000021,2025-12-01,202512,514.83,103.59,629.62
S000022,2025-05-01,202505,195.82,107.08,682.82
S000022,2025-06-01,202506,461.4,48.11,610.09
S000022,2025-07-01,202507,350.47,80.94,632.49
S000022,2025-08-01,202508,406.06,58.65,678.64
S000022,2025-09-01,202509,360.83,90.29,806.74
S000022,2025-10-01,202510,248.78,49.32,891.65
S000022,2025-11-01,202511,379.91,65.03,932.67
S000022,2025-12-01,202512,360.41,103.59,710.13
S000023,2025-11-01,202511,535.47,115.11,662.66
S000023,2025-12-01,202512,437.44,92.91,905.29
S000024,2025-12-01,202512,263.16,93.72,858.76
S000025,2025-10-01,202510,191.71,56.33,394.12
S000025,2025-11-01,202511,325.75,94.35,925.35
S000025,2025-12-01,202512,356.67,112.57,492.98
S000026,2025-01-01,202501,196.7,78.89,757.61
S000026,2025-02-01,202502,347.06,38.65,686.63
S000026,2025-03-01,202503,232.6,93.39,754.99
S000026,2025-04-01,202504,265.41,69.72,541.12
S000026,2025-05-01,202505,344.36,99.1,552.14
S000026,2025-06-01,202506,395.36,69.39,581.07
S000026,2025-07-01,202507,340.37,59.3,616.95
S000026,2025-08-01,202508,242.19,119.29,705.29
S000026,2025-09-01,202509,287.02,84.28,683.15
S000026,2025-10-01,202510,330.11,92.28,813.63
S000026,2025-11-01,202511,302.25,68.48,658.74
S000026,2025-12-01,202512,142.83,49.7,905.03
S000027,2025-01-01,202501,498.05,75.02,786.48
S000027,2025-02-01,202502,378.01,141.58,867.94
S000027,2025-03-01,202503,338.49,60.89,459.03
S000027,2025-04-01,202504,368.31,64.87,486.66
S000027,2025-05-01,202505,291.81,58.37,953.07
S000027,2025-06-01,202506,429.35,79.84,921.99
S000027,2025-07-01,202507,356.96,62.77,928.47
S000027,2025-08-01,202508,398.5,59.26,671.45
S000027,2025-09-01,202509,271.19,52.34,838.93
S000027,2025-10-01,202510,521.85,52.03,784.45
S000027,2025-11-01,202511,291.44,70.26,611.14
S000027,2025-12-01,202512,272.24,80.97,575.36
S000028,2025-10-01,202510,374.34,79.0,664.16
S000028,2025-11-01,202511,268.32,68.46,813.31
S000028,2025-12-01,202512,395.08,60.45,714.9
S000029,2025-11-01,202511,417.62,46.61,781.5
S000029,2025-12-01,202512,290.36,91.41,585.51
S000030,2025-10-01,202510,187.56,47.45,707.21
S000030,2025-11-01,202511,373.38,61.91,795.79
S000030,2025-12-01,202512,200.46,78.68,518.35
S000031,2025-03-01,202503,291.33,80.95,570.94
S000031,2025-04-01,202504,315.39,100.13,613.47
S000031,2025-05-01,202505,425.21,57.41,779.47
S000031,2025-06-01,202506,479.74,30.57,580.47
S000031,2025-07-01,202507,401.94,75.94,755.67
S000031,2025-08-01,202508,295.64,81.73,676.65
S000031,2025-09-01,202509,455.1,85.09,750.64
S000031,2025-10-01,202510,312.93,70.25,635.12
S000031,2025-11-01,202511,385.5,71.58,743.47
S000031,2025-12-01,202512,536.79,97.42,651.1
S000032,2025-12-01,202512,458.11,71.84,394.28
S000033,2025-10-01,202510,259.27,42.58,647.27
S000033,2025-11-01,202511,351.66,113.53,749.04
S000033,2025-12-01,202512,330.28,96.59,368.33
S000034,2025-03-01,202503,371.21,95.42,478.21
S000034,2025-04-01,202504,452.94,86.77,637.71
S000034,2025-05-01,202505,406.95,125.41,727.28
S000034,2025-06-01,202506,372.34,70.81,572.52
S000034,2025-07-01,202507,424.73,62.88,710.73
S000034,2025-08-01,202508,307.01,89.58,750.05
S000034,2025-09-01,202509,443.38,69.8,659.52
S000034,2025-10-01,202510,261.91,71.11,756.6
S000034,2025-11-01,202511,418.13,61.56,830.44
S000034,2025-12-01,202512,472.01,88.27,981.52
S000035,2025-10-01,202510,280.36,55.11,433.19
S000035,2025-11-01,202511,484.64,93.09,691.66
S000035,2025-12-01,202512,375.2,57.49,1066.86
S000036,2025-06-01,202506,361.63,82.19,808.86
S000036,2025-07-01,202507,393.29,84.48,581.43
S000036,2025-08-01,202508,392.43,117.64,901.81
S000036,2025-09-01,202509,493.39,69.78,551.56
S000036,2025-10-01,202510,338.68,81.11,864.13
S000036,2025-11-01,202511,197.68,110.59,676.3
S000036,2025-12-01,202512,311.58,59.76,451.77
S000037,2025-12-01,202512,424.09,81.47,506.51
S000038,2025-03-01,202503,233.44,73.28,950.35
S000038,2025-04-01,202504,326.64,49.94,663.14
S000038,2025-05-01,202505,325.45,26.06,691.86
S000038,2025-06-01,202506,329.22,93.92,977.34
S000038,2025-07-01,202507,451.39,74.62,534.02
S000038,2025-08-01,202508,581.6,81.18,702.09
S000038,2025-09-01,202509,347.83,83.96,678.35
S000038,2025-10-01,202510,298.37,69.06,695.09
S000038,2025-11-01,202511,301.09,65.74,715.96
S000038,2025-12-01,202512,327.05,110.08,302.35
S000039,2025-02-01,202502,448.24,104.92,388.99
S000039,2025-03-01,202503,319.16,72.57,488.87
S000039,2025-04-01,202504,280.0,57.79,962.84
S000039,2025-05-01,202505,434.21,105.43,808.25
S000039,2025-06-01,202506,248.39,69.51,773.41
S000039,2025-07-01,202507,240.01,94.26,663.95
S000039,2025-08-01,202508,316.27,94.22,766.64
S000039,2025-09-01,202509,317.51,103.19,537.84
S000039,2025-10-01,202510,405.43,91.86,653.57
S000039,2025-11-01,202511,379.35,54.98,838.6
S000039,2025-12-01,202512,333.36,69.55,857.35
S000040,2025-06-01,202506,286.61,51.83,466.51
S000040,2025-07-01,202507,404.54,54.39,963.22
S000040,2025-08-01,202508,162.63,113.93,731.65
S000040,2025-09-01,202509,341.3,69.1,759.87
S000040,2025-10-01,202510,346.61,102.07,717.13
S000040,2025-11-01,202511,363.53,72.73,691.46
S000040,2025-12-01,202512,377.7,45.8,497.77
S000041,2025-11-01,202511,416.89,83.42,672.4
S000041,2025-12-01,202512,351.66,86.95,619.04
S000042,2025-12-01,202512,279.95,83.92,553.24
S000043,2025-04-01,202504,386.74,45.95,854.37
S000043,2025-05-01,202505,392.53,85.12,847.4
S000043,2025-06-01,202506,499.89,100.29,423.87
S000043,2025-07-01,202507,234.84,67.5,703.91
S000043,2025-08-01,202508,396.59,65.49,728.02
S000043,2025-09-01,202509,282.02,67.77,489.0
S000043,2025-10-01,202510,266.91,52.97,553.62
S000043,2025-11-01,202511,444.83,61.01,1094.86
S000043,2025-12-01,202512,394.4,83.7,571.25
S000044,2025-12-01,202512,413.03,68.49,718.3
S000045,2025-12-01,202512,580.41,78.08,872.39
S000046,2025-03-01,202503,286.71,79.3,965.62
S000046,2025-04-01,202504,293.57,116.25,806.16
S000046,2025-05-01,202505,299.38,92.65,845.88
S000046,2025-06-01,202506,405.96,48.6,590.93
S000046,2025-07-01,202507,327.72,78.51,793.1
S000046,2025-08-01,202508,365.99,53.29,757.03
S000046,2025-09-01,202509,404.95,91.2,862.12
S000046,2025-10-01,202510,425.05,89.18,689.48
S000046,2025-11-01,202511,200.51,88.59,731.15
S000046,2025-12-01,202512,374.44,54.47,537.84
S000047,2025-08-01,202508,444.78,79.21,802.23
S000047,2025-09-01,202509,352.55,80.6,840.74
S000048,2025-03-01,202503,303.56,81.92,630.66
S000048,2025-04-01,202504,310.9,73.82,733.32
S000048,2025-05-01,202505,306.91,105.12,565.81
S000048,2025-06-01,202506,333.18,71.21,917.05
S000048,2025-07-01,202507,367.69,100.64,477.17
S000048,2025-08-01,202508,374.03,97.79,712.34
S000048,2025-09-01,202509,445.89,69.65,911.4
S000048,2025-10-01,202510,556.9,72.74,633.17
S000048,2025-11-01,202511,480.8,111.59,621.57
S000048,2025-12-01,202512,312.18,74.36,498.33
S000049,2025-01-01,202501,267.32,59.92,584.83
S000049,2025-02-01,202502,346.88,84.68,932.58
S000049,2025-03-01,202503,260.15,99.69,667.9
S000049,2025-04-01,202504,345.55,93.5,531.59
S000049,2025-05-01,202505,384.42,83.33,773.87
S000049,2025-06-01,202506,376.03,129.11,604.34
S000049,2025-07-01,202507,302.21,67.54,616.68
S000049,2025-08-01,202508,292.64,103.78,913.08
S000049,2025-09-01,202509,298.63,63.35,770.71
S000049,2025-10-01,202510,300.3,92.66,730.44
S000049,2025-11-01,202511,213.58,110.95,969.38
S000049,2025-12-01,202512,294.85,72.25,742.88
S000050,2025-05-01,202505,380.1,93.17,1001.53
S000050,2025-06-01,202506,334.07,64.03,493.1
S000050,2025-07-01,202507,284.22,79.34,969.18
S000050,2025-08-01,202508,303.41,84.48,697.54
S000050,2025-09-01,202509,456.96,130.54,620.37
S000050,2025-10-01,202510,305.95,100.88,802.28
S000050,2025-11-01,202511,516.2,91.68,646.11
S000050,2025-12-01,202512,403.16,102.17,823.07
S000051,2025-07-01,202507,395.65,101.33,875.39
S000051,2025-08-01,202508,474.39,92.97,674.93
S000051,2025-09-01,202509,363.2,104.13,577.46
S000051,2025-10-01,202510,383.18,72.13,704.31
S000051,2025-11-01,202511,465.06,83.82,706.97
S000051,2025-12-01,202512,227.61,94.93,796.82
S000052,2025-08-01,202508,544.69,73.84,732.87
S000052,2025-09-01,202509,372.44,111.55,685.71
S000052,2025-10-01,202510,375.11,92.16,727.99
S000052,2025-11-01,202511,309.82,83.88,861.04
S000052,2025-12-01,202512,257.61,82.66,594.98
S000053,2025-02-01,202502,457.55,49.54,616.16
S000053,2025-03-01,202503,383.95,111.31,690.14
S000053,2025-04-01,202504,300.03,117.62,482.8
S000053,2025-05-01,202505,152.11,88.8,624.69
S000053,2025-06-01,202506,258.09,94.17,736.57
S000053,2025-07-01,202507,299.23,54.39,830.87
S000053,2025-08-01,202508,408.52,78.02,977.0
S000053,2025-09-01,202509,253.69,49.49,596.21
S000053,2025-10-01,202510,345.9,84.87,663.81
S000053,2025-11-01,202511,381.68,54.97,916.56
S000053,2025-12-01,202512,342.61,102.35,751.41
S000054,2025-08-01,202508,391.11,91.4,767.16
S000054,2025-09-01,202509,407.85,106.58,729.48
S000055,2025-05-01,202505,413.81,78.21,916.02
S000055,2025-06-01,202506,289.12,116.02,693.98
S000055,2025-07-01,202507,221.23,82.56,597.84
S000055,2025-08-01,202508,425.66,66.95,633.07
S000055,2025-09-01,202509,179.94,70.95,336.42
S000055,2025-10-01,202510,207.45,95.21,817.87
S000055,2025-11-01,202511,388.29,60.66,692.84
S000055,2025-12-01,202512,349.68,56.83,925.51
S000056,2025-07-01,202507,428.96,75.58,704.03
S000056,2025-08-01,202508,368.75,39.17,662.92
S000057,2025-10-01,202510,288.62,59.97,657.83
S000057,2025-11-01,202511,511.79,92.82,614.32
S000057,2025-12-01,202512,401.53,107.99,838.7
S000058,2025-11-01,202511,355.37,67.06,804.73
S000058,2025-12-01,202512,385.41,97.9,795.28
S000059,2025-06-01,202506,444.46,69.3,897.61
S000059,2025-07-01,202507,367.78,121.51,596.62
S000059,2025-08-01,202508,506.24,83.96,602.29
S000059,2025-09-01,202509,306.45,73.59,763.62
S000059,2025-10-01,202510,397.06,68.53,696.35
S000059,2025-11-01,202511,542.8,114.55,765.45
S000059,2025-12-01,202512,353.42,82.4,792.03
S000060,2025-11-01,202511,257.95,74.85,449.71
S000060,2025-12-01,202512,385.93,92.94,627.52
S000061,2025-07-01,202507,491.66,55.48,480.34
S000061,2025-08-01,202508,370.2,100.94,952.59
S000061,2025-09-01,202509,308.7,101.57,694.22
S000061,2025-10-01,202510,334.46,97.67,797.85
S000061,2025-11-01,202511,208.12,109.53,907.01
S000061,2025-12-01,202512,293.7,87.92,774.1
S000062,2025-06-01,202506,373.46,68.99,599.26
S000062,2025-07-01,202507,347.7,103.45,781.54
S000063,2025-04-01,202504,316.64,95.43,272.72
S000063,2025-05-01,202505,453.39,45.21,645.63
S000063,2025-06-01,202506,249.23,54.11,874.12
S000063,2025-07-01,202507,307.91,86.93,692.96
S000063,2025-08-01,202508,392.93,81.54,507.55
S000064,2025-08-01,202508,439.66,70.12,466.51
S000064,2025-09-01,202509,311.47,110.02,827.53
S000064,2025-10-01,202510,318.62,73.01,651.75
S000064,2025-11-01,202511,536.91,87.64,764.51
S000064,2025-12-01,202512,442.73,84.78,661.14
S000065,2025-08-01,202508,332.33,78.57,694.42
S000065,2025-09-01,202509,415.49,81.04,809.9
S000065,2025-10-01,202510,342.74,81.57,400.27
S000065,2025-11-01,202511,432.47,86.93,849.7
S000065,2025-12-01,202512,89.34,121.77,679.06
S000066,2025-03-01,202503,449.74,59.2,791.92
S000066,2025-04-01,202504,255.19,67.52,987.1
S000066,2025-05-01,202505,332.84,84.35,830.51
S000066,2025-06-01,202506,394.61,83.01,754.74
S000066,2025-07-01,202507,566.31,78.85,730.16
S000066,2025-08-01,202508,444.56,102.11,878.05
S000066,2025-09-01,202509,407.49,57.14,945.01
S000066,2025-10-01,202510,246.83,86.05,586.86
S000066,2025-11-01,202511,344.23,86.58,748.2
S000066,2025-12-01,202512,387.97,112.27,768.03
S000067,2025-08-01,202508,328.03,99.28,878.42
S000067,2025-09-01,202509,239.52,91.95,805.18
S000067,2025-10-01,202510,323.22,107.51,677.49
S000067,2025-11-01,202511,361.3,76.54,702.34
S000067,2025-12-01,202512,251.34,51.2,939.18
S000068,2025-05-01,202505,273.77,60.17,376.99
S000068,2025-06-01,202506,292.49,53.54,946.3
S000068,2025-07-01,202507,440.88,66.24,1037.87
S000068,2025-08-01,202508,438.36,73.5,325.09
S000068,2025-09-01,202509,556.18,52.21,453.19
S000068,2025-10-01,202510,442.03,128.8,907.64
S000068,2025-11-01,202511,400.75,91.9,828.01
S000068,2025-12-01,202512,418.3,85.62,715.63
S000069,2025-11-01,202511,344.37,64.92,657.9
S000069,2025-12-01,202512,197.63,78.03,551.71
S000070,2025-09-01,202509,250.68,83.6,908.8
S000070,2025-10-01,202510,432.65,48.59,551.56
S000070,2025-11-01,202511,434.67,60.35,666.31
S000071,2025-10-01,202510,399.5,60.63,715.81
S000071,2025-11-01,202511,229.94,67.97,747.97
S000071,2025-12-01,202512,206.63,88.81,697.05
S000072,2025-07-01,202507,399.72,84.48,904.62
S000072,2025-08-01,202508,361.27,71.41,718.34
S000072,2025-09-01,202509,398.9,80.98,706.09
S000072,2025-10-01,202510,286.82,66.74,489.61
S000072,2025-11-01,202511,507.46,55.12,596.06
S000072,2025-12-01,202512,285.34,97.9,655.76
S000073,2025-02-01,202502,462.3,66.53,741.85
S000073,2025-03-01,202503,274.82,122.9,521.86
S000073,2025-04-01,202504,377.88,92.68,762.07
S000073,2025-05-01,202505,333.32,77.4,706.57
S000073,2025-06-01,202506,336.77,99.28,1031.58
S000073,2025-07-01,202507,299.83,52.6,686.76
S000073,2025-08-01,202508,582.17,63.93,945.87
S000073,2025-09-01,202509,500.99,68.93,785.35
S000073,2025-10-01,202510,496.56,72.42,669.46
S000073,2025-11-01,202511,297.65,59.7,602.61
S000073,2025-12-01,202512,239.85,80.68,584.5
S000074,2025-04-01,202504,371.04,48.88,749.63
S000074,2025-05-01,202505,425.02,40.13,756.11
S000074,2025-06-01,202506,460.49,55.81,950.89
S000074,2025-07-01,202507,387.71,65.9,691.63
S000074,2025-08-01,202508,400.25,81.52,780.81
S000074,2025-09-01,202509,267.14,83.39,487.94
S000074,2025-10-01,202510,339.99,61.92,589.67
S000074,2025-11-01,202511,461.25,101.83,791.37
S000074,2025-12-01,202512,251.69,73.67,881.96
S000075,2025-02-01,202502,362.75,126.39,759.0
S000075,2025-03-01,202503,367.28,73.82,720.03
S000075,2025-04-01,202504,336.28,94.16,843.51
S000075,2025-05-01,202505,279.26,53.38,424.57
S000075,2025-06-01,202506,395.72,57.93,377.07
S000075,2025-07-01,202507,384.97,129.86,699.09
S000075,2025-08-01,202508,425.46,81.64,685.17
S000075,2025-09-01,202509,432.72,74.19,740.11
S000075,2025-10-01,202510,378.95,66.64,848.81
S000075,2025-11-01,202511,334.25,64.89,780.48
S000075,2025-12-01,202512,269.14,80.56,698.63
S000076,2025-10-01,202510,447.73,89.49,696.25
S000076,2025-11-01,202511,423.6,107.8,783.67
S000076,2025-12-01,202512,350.93,53.76,540.23
S000077,2025-07-01,202507,322.53,67.81,671.95
S000077,2025-08-01,202508,355.1,90.59,689.43
S000077,2025-09-01,202509,393.79,81.29,403.68
S000077,2025-10-01,202510,265.46,77.12,518.55
S000077,2025-11-01,202511,403.99,110.62,882.81
S000077,2025-12-01,202512,330.79,109.81,722.3
S000078,2025-09-01,202509,319.66,67.73,654.63
S000078,2025-10-01,202510,315.06,83.41,724.09
S000078,2025-11-01,202511,350.27,88.74,878.6
S000078,2025-12-01,202512,435.46,50.3,316.91
S000079,2025-02-01,202502,434.09,52.66,666.29
S000079,2025-03-01,202503,244.69,43.96,781.22
S000079,2025-04-01,202504,418.32,68.47,311.34
S000079,2025-05-01,202505,300.84,87.84,478.16
S000079,2025-06-01,202506,366.5,79.69,786.89
S000079,2025-07-01,202507,360.76,60.54,879.49
S000079,2025-08-01,202508,335.73,79.45,560.01
S000079,2025-09-01,202509,310.1,62.3,674.06
S000079,2025-10-01,202510,504.05,52.56,457.97
S000079,2025-11-01,202511,482.41,75.81,599.64
S000079,2025-12-01,202512,443.59,67.89,973.9
S000080,2025-02-01,202502,411.01,70.24,1023.6
S000080,2025-03-01,202503,295.49,94.84,744.89
S000080,2025-04-01,202504,467.16,111.23,704.8
S000080,2025-05-01,202505,282.19,89.2,598.34
S000080,2025-06-01,202506,531.2,82.73,645.2
S000080,2025-07-01,202507,366.62,53.06,554.26
S000080,2025-08-01,202508,458.04,66.86,542.96
S000080,2025-09-01,202509,398.3,103.71,807.84
S000080,2025-10-01,202510,439.64,64.86,486.73
S000080,2025-11-01,202511,485.12,73.55,662.38
S000080,2025-12-01,202512,469.54,91.12,768.38
S000081,2025-07-01,202507,544.85,67.13,839.18
S000081,2025-08-01,202508,355.13,85.37,929.27
S000081,2025-09-01,202509,395.71,90.77,860.88
S000081,2025-10-01,202510,317.15,63.22,543.28
S000081,2025-11-01,202511,173.03,121.12,534.52
S000081,2025-12-01,202512,330.09,74.46,746.11
S000082,2025-01-01,202501,423.42,97.21,612.54
S000082,2025-02-01,202502,334.96,85.65,662.7
S000082,2025-03-01,202503,494.66,89.82,810.23
S000082,2025-04-01,202504,409.66,103.47,727.15
S000082,2025-05-01,202505,233.29,87.99,602.3
S000082,2025-06-01,202506,302.42,91.73,885.74
S000082,2025-07-01,202507,351.91,86.18,955.33
S000082,2025-08-01,202508,371.67,132.03,784.83
S000083,2025-01-01,202501,191.53,95.07,757.17
S000083,2025-02-01,202502,466.08,93.46,679.23
S000083,2025-03-01,202503,239.81,75.82,572.42
S000083,2025-04-01,202504,297.75,91.77,950.49
S000083,2025-05-01,202505,385.52,56.08,766.69
S000083,2025-06-01,202506,457.7,67.8,679.9
S000083,2025-07-01,202507,351.32,64.3,797.24
S000083,2025-08-01,202508,339.11,88.39,566.88
S000083,2025-09-01,202509,310.63,94.45,644.08
S000083,2025-10-01,202510,505.43,72.01,733.7
S000083,2025-11-01,202511,433.93,51.63,435.88
S000083,2025-12-01,202512,212.69,105.25,617.22
S000084,2025-12-01,202512,580.24,68.72,727.68
S000085,2025-06-01,202506,488.79,120.12,1009.23
S000085,2025-07-01,202507,458.75,100.48,788.88
S000085,2025-08-01,202508,420.05,68.98,577.27
S000085,2025-09-01,202509,349.7,76.6,632.02
S000085,2025-10-01,202510,412.67,99.11,713.26
S000085,2025-11-01,202511,482.98,57.17,670.95
S000085,2025-12-01,202512,285.49,42.67,687.6
S000086,2025-08-01,202508,339.04,110.27,794.62
S000086,2025-09-01,202509,257.82,117.08,883.16
S000086,2025-10-01,202510,402.39,75.47,556.08
S000086,2025-11-01,202511,316.5,101.77,982.69
S000086,2025-12-01,202512,488.89,70.22,532.06
S000087,2025-03-01,202503,362.68,44.63,748.48
S000087,2025-04-01,202504,336.72,70.68,460.79
S000087,2025-05-01,202505,396.22,69.35,524.51
S000087,2025-06-01,202506,91.5,79.45,965.84
S000087,2025-07-01,202507,499.51,70.86,609.67
S000087,2025-08-01,202508,392.19,60.03,745.27
S000087,2025-09-01,202509,418.95,104.54,684.98
S000087,2025-10-01,202510,331.67,62.44,575.97
S000087,2025-11-01,202511,329.62,87.35,837.04
S000087,2025-12-01,202512,277.71,109.85,659.33
S000088,2025-05-01,202505,348.08,65.06,336.36
S000088,2025-06-01,202506,429.56,94.74,657.8
S000088,2025-07-01,202507,356.03,90.32,465.62
S000088,2025-08-01,202508,302.39,95.89,511.86
S000088,2025-09-01,202509,376.42,52.87,769.96
S000088,2025-10-01,202510,346.79,47.7,874.71
S000088,2025-11-01,202511,283.89,63.79,730.09
S000088,2025-12-01,202512,453.38,59.68,709.25
S000089,2025-08-01,202508,388.59,93.86,726.47
S000089,2025-09-01,202509,316.97,63.45,712.92
S000089,2025-10-01,202510,253.51,21.57,765.48
S000089,2025-11-01,202511,431.35,32.74,548.54
S000089,2025-12-01,202512,405.72,121.15,703.12
S000090,2025-01-01,202501,284.48,76.34,906.23
S000090,2025-02-01,202502,291.86,64.02,627.59
